# sid	tripitaka	name	lqsutra	total_reels	remark
GL001630	GL	大薩遮尼乾子所說經	LQ003020	10	
GL001640	GL	大方等無想經	LQ004220	6	
GL001650	GL	大雲經請雨品第六十四	LQ010120	1	
GL001660	GL	大雲輪請雨經	LQ010130	2	
GL001670	GL	大方等大雲經請雨品第六十四	LQ010110	1	
GL001680	GL	諸法無行經	LQ007510	2	
GL001690	GL	佛說諸法本無經	LQ007520	3	
GL001700	GL	無極寶三昧經	LQ007360	2	
GL001710	GL	佛說寶如來三昧經	LQ007370	2	
GL001720	GL	佛說慧印三昧經	LQ007330	1	
GL001730	GL	佛說如來智印經	LQ007340	1	
GL001740	GL	佛說灌頂七萬二千神王護比丘呪經	LQ013812	12	
GL001750	GL	文殊師利普超三昧經	LQ007290	3	
GL001760	GL	佛說藥師如來本願經	LQ006190	1	
GL001770	GL	藥師琉璃光如來本願功德經	LQ006200	1	
GL001780	GL	藥師琉璃光七佛本願功德經	LQ006210	2	
GL001790	GL	佛說阿闍世王經	LQ007280	2	
GL001800	GL	佛說放鉢經	LQ007300	1	
GL001810	GL	月燈三昧經	LQ007390	10	
GL001820	GL	佛說月燈三昧經	LQ007400	1	
GL001830	GL	佛說月燈三昧經	LQ007410	1	
GL001840	GL	佛說無希望經	LQ008320	1	
GL001850	GL	佛說象腋經	LQ008310	1	
GL001860	GL	佛說大淨法門經	LQ008360	1	
GL001870	GL	大莊嚴法門經	LQ008350	2	
GL001880	GL	如來莊嚴智慧光明入一切佛境界經	LQ003880	2	
GL001890	GL	度一切諸佛境界智嚴經	LQ003890	1	
GL001900	GL	後出阿彌陀佛偈	LQ004060	1	
GL001910	GL	佛說觀無量壽佛經	LQ003960	1	
GL001920	GL	佛說阿彌陀經	LQ003920	1	
GL001930	GL	稱讚淨土佛攝受經	LQ003990	1	
GL001940	GL	佛說觀彌勒菩薩上生兜率天經	LQ006280	1	
GL001950	GL	佛說彌勒大成佛經	LQ006230	1	
GL001960	GL	佛說彌勒來時經	LQ006270	1	
GL001970	GL	佛說彌勒下生經	LQ006240	1	
GL001980	GL	佛說彌勒下生成佛經	LQ006250	1	鳩摩羅什譯
GL001990	GL	佛說彌勒下生成佛經	LQ006260	1	義凈譯
GL002000	GL	佛說諸法勇王經	LQ008400	1	
GL002010	GL	佛說一切法高王經	LQ008410	1	
GL002020	GL	第一義法勝經	LQ008510	1	
GL002030	GL	大威燈光仙人問疑經	LQ008500	1	
GL002040	GL	順權方便經	LQ006950	2	
GL002050	GL	樂瓔珞莊嚴方便品經	LQ006940	1	
GL002060	GL	六度集經	LQ002120	8	
GL002070	GL	太子須大拏經	LQ002310	1	
GL002080	GL	佛說菩薩睒子經	LQ002341	1	
GL002090	GL	佛說睒子經	LQ002351	1	
GL002100	GL	佛說太子墓魄經	LQ002280	1	
GL002110	GL	佛說九色鹿經	LQ002410	1	
GL002120	GL	佛說太子慕魄經	LQ002270	1	
GL002130	GL	無字寶篋經	LQ008450	1	
GL002140	GL	大乘離文字普光明藏經	LQ008460	1	
GL002150	GL	大乘遍照光明藏無字法門經	LQ008440	1	
GL002160	GL	佛說老女人經	LQ006880	1	
GL002170	GL	佛說老母經	LQ006890	1	
GL002180	GL	佛說老母女六英經	LQ006900	1	
GL002190	GL	佛說月光童子經	LQ006790	1	
GL002200	GL	申日兒本經	LQ006800	1	
GL002210	GL	佛說德護長者經	LQ006770	2	
GL002220	GL	文殊師利問菩提經	LQ006320	1	
GL002230	GL	伽耶山頂經	LQ006330	1	
GL002240	GL	佛說象頭精舍經	LQ006340	1	
GL002250	GL	大乘伽耶山頂經	LQ006350	1	
GL002260	GL	佛說長者子制經	LQ006730	1	
GL002270	GL	佛說菩薩逝經	LQ006740	1	
GL002280	GL	佛說逝童子經	LQ006720	1	
GL002290	GL	佛說犢子經	LQ008260	1	
GL002300	GL	佛說乳光佛經	LQ008250	1	
GL002310	GL	佛說無垢賢女經	LQ006920	1	
GL002320	GL	佛說腹中女聽經	LQ006930	1	
GL002330	GL	佛說轉女身經	LQ006910	1	
GL002340	GL	佛說申日經	LQ006780	1	
GL002350	GL	佛說無上依經	LQ007630	2	
GL002360	GL	甚稀有經	LQ007810	1	
GL002370	GL	佛說未曾有經	LQ007800	1	
GL002380	GL	佛說決定摠持經	LQ008290	1	
GL002390	GL	謗佛經	LQ008280	1	
GL002400	GL	佛說寶積三昧文殊師利菩薩問法身經	LQ003860	1	
GL002410	GL	入法界體性經	LQ003850	1	
GL002420	GL	如來師子吼經	LQ008480	1	
GL002430	GL	大方廣師子吼經	LQ008470	1	
GL002440	GL	大乘百福相經	LQ006420	1	
GL002450	GL	大乘百福莊嚴相經	LQ006430	1	
GL002460	GL	大乘四法經	LQ008140	1	
GL002470	GL	佛說菩薩修行四法經	LQ008150	1	
GL002480	GL	善恭敬經	LQ015620	1	
GL002490	GL	佛說稀有校量功德經	LQ007830	1	
GL002500	GL	最無比經	LQ007820	1	
GL002510	GL	前世三轉經	LQ002380	1	
GL002520	GL	銀色女經	LQ002390	1	
GL002530	GL	阿闍世王授決經	LQ006640	1	
GL002540	GL	採花違王上佛授決號妙花經	LQ006650	1	
GL002550	GL	佛說正恭敬經	LQ015630	1	
GL002560	GL	稱讚大乘功德經	LQ008550	1	
GL002570	GL	說妙法決定業障經	LQ008560	1	
GL002580	GL	如來示敎勝軍王經	LQ006680	1	
GL002590	GL	緣起聖道經	LQ001160	1	
GL002600	GL	佛說諫王經	LQ006670	1	
GL002610	GL	佛爲勝光天子說王法經	LQ006690	1	
GL002620	GL	浴佛功德經	LQ007880	1	
GL002630	GL	曼殊室利呪藏中校量數珠功德經	LQ008200	1	
GL002640	GL	佛說大方等修多羅王經	LQ007040	1	
GL002650	GL	佛說文殊師利巡行經	LQ006390	1	
GL002660	GL	佛說轉有經	LQ007050	1	
GL002670	GL	佛說文殊尸利行經	LQ006380	1	
GL002680	GL	了本生死經	LQ007980	1	
GL002690	GL	貝多樹下思惟十二因緣經	LQ001150	1	
GL002700	GL	佛說龍施女經	LQ006860	1	
GL002710	GL	佛說八吉祥神呪經	LQ005970	1	
GL002720	GL	佛說稻芉經	LQ007990	1	
GL002730	GL	佛說自誓三昧經	LQ007240	1	
GL002740	GL	佛說如來獨證自誓三昧經	LQ007230	1	
GL002750	GL	佛說龍施菩薩本起經	LQ006870	1	
GL002760	GL	佛說八陽神呪經	LQ005980	1	
GL002770	GL	佛說盂蘭盆經	LQ007780	1	
GL002780	GL	佛說灌洗佛形像經	LQ007900	1	
GL002790	GL	佛說摩訶剎頭經	LQ007910	1	
GL002800	GL	佛說造立形像福報經	LQ007840	1	
GL002810	GL	佛說作佛形像經	LQ007850	1	
GL002820	GL	八佛名號經	LQ005960	1	
GL002830	GL	佛說報恩奉瓰經	LQ007790	1	
GL002840	GL	佛說浴像功德經	LQ007890	1	
GL002850	GL	佛說校量數珠功德經	LQ008210	1	
GL002860	GL	八吉祥經	LQ005990	1	
GL002870	GL	不空羂索神變眞言經	LQ011240	30	
GL002880	GL	不空羂索呪經	LQ011260	1	
GL002890	GL	不空羂索神呪心經	LQ011270	1	
GL002900	GL	不空羂索陀羅尼自在王呪經	LQ011310	3	
GL002910	GL	不空羂索陀羅尼經	LQ011320	1	
GL002920	GL	千眼千臂觀世音菩薩陀羅尼神呪經	LQ010801	2	
GL002930	GL	千手千眼觀世音菩薩姥陀羅尼身經	LQ010790	1	
GL002940	GL	佛說千手千眼觀世音菩薩廣大圓滿無礙大悲心陀羅尼經	LQ010821	1	
GL002950	GL	觀世音菩薩如意摩尼陀羅尼經	LQ011150	1	
GL002960	GL	觀世音菩薩祕密藏如意輪陀羅尼神呪經	LQ011140	1	
GL002970	GL	佛說觀自在菩薩如意心陀羅尼呪經	LQ011130	1	
GL002980	GL	如意輪陁羅尼經	LQ011120	1	
GL002990	GL	大方廣菩薩藏經中文殊師利根本一字陀羅尼經	LQ012200	1	
GL003000	GL	曼殊室利菩薩呪藏中一字呪王經	LQ012210	1	
GL003010	GL	佛說十二佛名神呪校量功德除障滅罪經	LQ013930	1	
GL003020	GL	佛說稱讚如來功德神呪經	LQ013940	1	
GL003030	GL	佛說大孔雀呪王經	LQ010060	3	
GL003040	GL	孔雀王呪經	LQ010090	1	
GL003050	GL	大金色孔雀王呪經	LQ010070	1	
GL003060	GL	佛說大金色孔雀王呪經	LQ010080	1	
GL003070	GL	孔雀王呪經	LQ010050	2	
GL003080	GL	佛說陀羅尼集經	LQ009190	12	
GL003090	GL	佛說十一面觀世音神呪經	LQ010960	1	
GL003100	GL	十一面神呪心經	LQ010970	1	
GL003110	GL	佛說摩利支天陀羅尼呪經	LQ012970	1	
GL003120	GL	呪五首	LQ010560	1	
GL003130	GL	千轉陀羅尼觀世音菩薩呪	LQ010570	1	
GL003140	GL	佛說七俱胝佛母心大准提陀羅尼經	LQ011040	1	
GL003150	GL	佛說七俱胝佛母准提大明陀羅尼經	LQ011020	1	
GL003160	GL	六字神呪經	LQ012180	1	
