龍泉編碼	实体经名	中华藏编号	卷序号	实际卷数	起始册码	终止册码	
LQ0338	大方廣佛華嚴經修慈分	ZH0091	1	1	13	13	
LQ0335	度諸佛境界智光嚴經	ZH0092	1	1	13	13	
LQ0334	大方廣入如來智德不思議經	ZH0093	1	1	13	13	
LQ0332	大方廣如來不思議境界經	ZH0094	1	1	13	13	
LQ0333	大方廣佛華嚴經不思議佛境界分	ZH0095	1	1	13	13	
LQ0316	漸備一切智德經	ZH0096	5	5	13	13	
LQ0314	菩薩十住行道品	ZH0097	1	1	13	13	
LQ0339	佛贊莊嚴菩提心經	ZH0098	1	1	13	13	
LQ0315	佛說菩薩十住經	ZH0099	1	1	13	13	
LQ0311	佛說兜沙經	ZH0100	1	1	13	13	
LQ0330	大方廣普賢所說經	ZH0101	1	1	13	13	
LQ0313	諸菩薩求佛本業經	ZH0102	1	1	13	13	
LQ0312	佛說菩薩本業經	ZH0103	1	1	13	13	
LQ0340	佛說大方廣菩薩十地經	ZH0104	1	1	13	13	
LQ0317	十住經	ZH0105	4	4	13	13	
LQ0322	佛說如來與顯經	ZH0106	4	4	13	13	
LQ0319	等目菩薩所問三昧經	ZH0107	3	3	13	13	
LQ0320	顯無邊佛土功德經	ZH0108	1	1	13	13	
LQ0326	佛說羅摩伽經	ZH0109	3	3	13	13	
LQ0323	度世品經	ZH0110	6	6	13	13	
LQ0327	大方廣佛華嚴經入法界品	ZH0111	1	1	13	13	
LQ0409	大般湼槃經	ZH0112	40	40	14	14	
LQ0410	南本大般湼槃經	ZH0113	36	36	14	14	
LQ0411	大般泥洹經 	ZH0114	6	6	15	15	
LQ0412	大般涅槃經後分 	ZH0115	2	2	15	15	
LQ0413	佛說方等般泥洹經 	ZH0116	2	2	15	15	
LQ0414	四童子三昧經 	ZH0117	3	3	15	15	
LQ0415	大悲經 	ZH0118	8	8	15	15	
LQ0244	方廣大莊嚴經 	ZH0119	12	12	15	15	
LQ0245	普曜經 	ZH0120	8	8	15	15	
LQ0300	佛說法華三昧經 	ZH0121	1	1	15	15	
LQ0307	無量義經 	ZH0122	1	1	15	15	
LQ0295	薩曇分陀利經 	ZH0123	1	1	15	15	
LQ1955	妙法蓮華經 	ZH0124	7	7	15	15	
LQ0293	正法華經 	ZH0125	10	10	15	15	
LQ0294	添品妙法蓮華經 	ZH0126	7	7	15	15	
LQ0645	維摩詰所說經 	ZH0127	3	3	15	15	
LQ0646	佛說維摩詰經 	ZH0128	2	2	15	15	
LQ0647	說無垢稱經 	ZH0129	6	6	15	15	
LQ0649	佛說大方等頂王經 	ZH0130	1	1	15	15	
LQ0650	大乘頂王經 	ZH0131	1	1	15	15	
LQ0648	善思童子經 	ZH0132	2	2	16	16	
LQ0218	大乘悲分陀利經 	ZH0133	8	8	16	16	
LQ0217	悲華經 	ZH0134	10	10	16	16	
LQ0757	金光明最勝王經 	ZH0135	10	10	16	16	
LQ0759	合部金光明經 	ZH0136	8	8	16	16	
LQ0726	佛說伅真陀羅所問寶如來三昧經 	ZH0137	3	3	16	16	
LQ0725	大樹緊那羅王所問經 	ZH0138	4	4	16	16	
LQ0834	佛說道神足無極變化經 	ZH0139	4	4	16	16	
LQ0833	佛昇忉利天為母說法經 	ZH0140	3	3	16	16	
LQ0659	佛說寶雨經 	ZH0141	10	10	16	16	
LQ0660	寶雲經 	ZH0142	7	7	16	16	
LQ0299	佛說阿惟越致遮經 	ZH0143	3	3	16	16	
LQ0296	妙法蓮花經觀世音菩薩普門品經 	ZH0144	1	1	16	16	
LQ0297	佛說廣博嚴淨不退轉輪經 	ZH0145	6	6	16	16	
LQ0298	不退轉法輪經 	ZH0146	4	4	16	16	
LQ0746	不必定入定入印經 	ZH0147	1	1	16	16	
LQ0745	入定不定印經 	ZH0148	1	1	16	16	
LQ0417	等集眾德三昧經 	ZH0149	3	3	16	16	
LQ0416	集一切福德三昧經 	ZH0150	3	3	17	17	
LQ0709	持心梵天所問經 	ZH0151	4	4	17	17	
LQ0708	思益梵天所問經 	ZH0152	4	4	17	17	
LQ0710	勝思惟梵天所問經 	ZH0153	6	6	17	17	
LQ0653	持人菩薩經 	ZH0154	4	4	17	17	
LQ0652	持世經 	ZH0155	4	4	17	17	
LQ0306	佛說濟諸方等學經 	ZH0156	1	1	17	17	
LQ0305	大乘方廣總持經 	ZH0157	1	1	17	17	
LQ0631	佛說文殊師利現寶藏經 	ZH0158	2	2	17	17	
LQ0630	大方廣寶篋經 	ZH0159	3	3	17	17	
LQ0768	大乘同性經 	ZH0160	2	2	17	17	
LQ0769	證契大乘經 	ZH0161	2	2	17	17	
LQ0771	深密解脫經 	ZH0162	5	5	17	17	
LQ0770	解深密經 	ZH0163	5	5	17	17	
LQ0772	佛說解節經 	ZH0164	1	1	17	17	
LQ0773	相續解脫地波羅蜜了義經 	ZH0165	1	1	17	17	
LQ0803	緣生初勝分法本經 	ZH0166	2	2	17	17	
LQ0802	分別緣起初勝法門經 	ZH0167	2	2	17	17	
LQ2170	楞伽阿跋多羅寶經 	ZH0168	4	4	17	17	
LQ0765	入楞伽經 	ZH0169	10	10	17	17	
LQ0766	大乘入楞伽經 	ZH0170	7	7	17	17	
LQ0303	佛說菩薩行方便境界神通變化經 	ZH0171	3	3	17	17	
LQ0302	大薩遮尼乾子所說經 	ZH0172	10	10	17	17	
LQ0422	大方等無想經 	ZH0173	6	6	18	18	
LQ1012	大雲經請雨品第六十四 	ZH0174	1	1	18	18	
LQ1013	大雲輪請雨經 	ZH0175	2	2	18	18	
LQ1011	大方等大雲經請雨品第六十四 	ZH0176	1	1	18	18	
LQ0751	諸法無行經 	ZH0177	2	2	18	18	
LQ0752	佛說諸法本無經 	ZH0178	3	3	18	18	
LQ0736	無極寶三昧經 	ZH0179	2	2	18	18	
LQ0737	佛說寶如來三昧經 	ZH0180	2	2	18	18	
LQ0733	佛說慧印三昧經 	ZH0181	1	1	18	18	
LQ0734	佛說如來智印經 	ZH0182	1	1	18	18	
LQ1381	大灌頂經 	ZH0183	12	12	18	18	
LQ0729	文殊師利普超三昧經 	ZH0184	3	3	18	18	
LQ0619	佛說藥師如來本願經 	ZH0185	1	1	18	18	
LQ0620	藥師琉璃光如來本願功德經 	ZH0186	1	1	18	18	
LQ0621	藥師琉璃光七佛本願功德經 	ZH0187	2	2	18	18	
LQ0728	佛說阿闍世王經 	ZH0189	2	2	18	18	
LQ0730	佛說放鉢經 	ZH0190	1	1	18	18	
LQ0739	月燈三昧經 	ZH0191	10	10	18	18	
LQ0740	佛說月燈三昧經 	ZH0192	1	1	18	18	
LQ0741	佛說月燈三昧經 	ZH0193	1	1	18	18	
LQ0832	佛說無希望經 	ZH0194	1	1	18	18	
LQ0831	佛說象腋經 	ZH0195	1	1	18	18	
LQ0836	佛說大淨法門經 	ZH0196	1	1	18	18	
LQ0835	大莊嚴法門經 	ZH0197	2	2	18	18	
LQ0388	如來莊嚴智慧光明入一切佛境界經 	ZH0198	2	2	18	18	
LQ0389	度一切諸佛境界智嚴經 	ZH0199	1	1	18	18	
LQ0406	後出阿彌陀佛偈 	ZH0200	1	1	18	18	
LQ0396	佛說觀無量壽佛經 	ZH0201	1	1	18	18	
LQ0392	佛說阿彌陀經 	ZH0202	1	1	18	18	
LQ0394	佛說大阿彌陀經 	ZH0203	2	2	18	18	
LQ0399	稱讚淨土佛攝受經 	ZH0204	1	1	18	18	
LQ0628	佛說觀彌勒菩薩上生兜率天經 	ZH0205	1	1	18	18	
LQ0623	佛說彌勒大成佛經 	ZH0206	1	1	18	18	
LQ0627	佛說彌勒來時經 	ZH0207	1	1	18	18	
LQ0624	佛說彌勒下生經 	ZH0208	1	1	18	18	
LQ0625	佛說彌勒下生成佛經 	ZH0209	1	1	18	18	
LQ0626	佛說彌勒下生成佛經 	ZH0210	1	1	18	18	
LQ0840	佛說諸法勇王經 	ZH0211	1	1	18	18	
LQ0841	佛說一切法高王經 	ZH0212	1	1	18	18	
LQ0851	第一義法勝經 	ZH0213	1	1	18	18	
LQ0850	大威燈光仙人問疑經 	ZH0214	1	1	18	18	
LQ0695	順權方便經 	ZH0215	2	2	18	18	
LQ0694	樂瓔珞莊嚴方便品經 	ZH0216	1	1	18	18	
LQ0212	六度集經 	ZH0217	7	7	18	18	
LQ0231	太子須大拏經 	ZH0218	1	1	18	18	
LQ0234	佛說菩薩睒子經 	ZH0219	1	1	18	18	
LQ0227	佛說太子慕魄經 	ZH0221	1	1	18	18	
LQ0228	佛說太子墓珀經 	ZH0222	1	1	18	18	
LQ0235	佛說睒子經 	ZH0224	1	1	19	19	
LQ0241	佛說九色鹿經 	ZH0225	1	1	19	19	存疑
LQ0825	佛說乳光佛經 	ZH0228	1	1	19	19	
LQ0845	無字寶篋經 	ZH0229	1	1	19	19	
LQ0846	大乘離文字普光明藏經 	ZH0230	1	1	19	19	
LQ0844	大乘遍照光明藏無字法門經 	ZH0231	1	1	19	19	
LQ0688	佛說老女人經 	ZH0232	1	1	19	19	
LQ0692	佛說無垢賢女經 	ZH0233	1	1	19	19	
LQ0689	佛說老母經 	ZH0234	1	1	19	19	
LQ0690	佛說母老六英經 	ZH0235	1	1	19	19	
LQ0693	佛說腹中女聽經 	ZH0236	1	1	19	19	
LQ0679	佛說月光童子經 	ZH0237	1	1	19	19	
LQ0680	申日兒本經 	ZH0238	1	1	19	19	
LQ0677	佛說德護長者經 	ZH0239	2	2	19	19	
LQ0633	伽耶山頂經 	ZH0240	1	1	19	19	
LQ0634	佛說象頭精舍經 	ZH0241	1	1	19	19	
LQ0672	佛說逝童子經 	ZH0242	1	1	19	19	
LQ0635	大乘伽耶山頂經 	ZH0243	1	1	19	19	
LQ0673	佛說長者子制經 	ZH0244	1	1	19	19	
LQ0674	佛說菩薩逝經 	ZH0245	1	1	19	19	
LQ0826	佛說犢子經 	ZH0246	1	1	19	19	
LQ0691	佛說轉女身經 	ZH0247	1	1	19	19	
LQ0678	佛說申日經 	ZH0248	1	1	19	19	
LQ0763	佛說無上依經 	ZH0249	2	2	19	19	
LQ0781	甚希有經 	ZH0250	1	1	19	19	
LQ0386	佛說寶積三昧文殊師利菩薩問法身經 	ZH0251	1	1	19	19	
LQ0780	佛說未曾有經 	ZH0252	1	1	19	19	
LQ0783	佛說希有校量功德經 	ZH0253	1	1	19	19	
LQ0829	佛說決定總持經 	ZH0254	1	1	19	19	
LQ0239	銀色女經 	ZH0255	1	1	19	19	
LQ0643	大乘百福莊嚴相經 	ZH0256	1	1	19	19	
LQ0828	謗佛經 	ZH0257	1	1	19	19	
LQ0385	入法界體性經 	ZH0258	1	1	19	19	
LQ0848	如來師子吼經 	ZH0259	1	1	19	19	
LQ0815	佛說菩薩修行四法經 	ZH0260	1	1	19	19	
LQ0664	阿闍世王授決經 	ZH0261	1	1	19	19	
LQ0847	大方廣師子吼經 	ZH0262	1	1	19	19	
LQ0642	大乘百福相經 	ZH0263	1	1	19	19	
LQ0665	採花違王上佛授决号妙花經 	ZH0264	1	1	19	19	
LQ0856	說妙法決定業障經 	ZH0265	1	1	19	19	
LQ0814	大乘四法經 	ZH0266	1	1	19	19	
LQ0814	大乘四法經 	ZH0266	1	1	19	19	
LQ0855	稱讚大乘功德經 	ZH0267	1	1	19	19	
LQ1562	善恭敬經 	ZH0268	1	1	19	19	
LQ0782	最無比經 	ZH0269	1	1	19	19	
LQ0238	前世三轉經 	ZH0270	1	1	19	19	
LQ1563	佛說正恭敬經 	ZH0271	1	1	19	19	
LQ0668	如來示教勝軍王經 	ZH0272	1	1	19	19	
LQ0789	佛說浴像功德經 	ZH0273	1	1	19	19	
LQ0667	佛說諫王經 	ZH0274	1	1	19	19	
LQ0116	緣起聖道經 	ZH0275	1	1	19	19	
LQ0597	佛說八吉祥神咒經 	ZH0276	1	1	19	19	
LQ0687	佛說龍施菩薩本起經 	ZH0277	1	1	19	19	
LQ0791	佛說摩訶刹頭經 	ZH0278	1	1	19	19	
LQ0669	佛為勝光天子說王法經 	ZH0279	1	1	19	19	
LQ0599	八吉祥經 	ZH0280	1	1	19	19	
LQ0598	佛說八陽神咒經 	ZH0281	1	1	19	19	
LQ0788	浴佛功德經 	ZH0282	1	1	19	19	
LQ0778	佛說盂蘭盆經 	ZH0283	1	1	19	19	
LQ0820	曼殊室利咒藏中校量數珠功德經 	ZH0284	1	1	19	19	
LQ0704	佛說大方等修多羅王經 	ZH0285	1	1	19	19	
LQ0639	佛說文殊師利巡行經 	ZH0286	1	1	19	19	
LQ0705	佛說轉有經 	ZH0287	1	1	19	19	
LQ0596	八佛名號經 	ZH0289	1	1	19	19	
LQ0798	了本生死經 	ZH0290	1	1	19	19	
LQ0115	貝多樹下思惟十二因緣經 	ZH0291	1	1	19	19	
LQ0686	佛說龍施女經 	ZH0292	1	1	19	19	
LQ0799	佛說稻芊經 	ZH0293	1	1	19	19	
LQ0779	佛說報恩奉瓫經 	ZH0294	1	1	19	19	
LQ0790	佛說灌洗佛形象經 	ZH0295	1	1	19	19	
LQ0724	佛說自誓三昧經 	ZH0297	1	1	19	19	
LQ0785	佛說作佛形像經 	ZH0298	1	1	19	19	
LQ0723	佛說如來獨證自誓三昧經 	ZH0299	1	1	19	19	
LQ0784	佛說造立形像福報經 	ZH0300	1	1	19	19	
LQ0821	佛說校量數珠功德經 	ZH0301	1	1	19	19	
LQ1124	不空[羅-維+絹]索神變真言經 	ZH0302	30	30	19	19	
LQ1126	不空[羅-維+絹]索神咒心經 	ZH0304	1	1	19	19	
LQ1130	不空[羅-維+絹]索陀羅尼自在王咒經 	ZH0305	3	3	19	19	
LQ1132	不空[羅-維+絹]索陀羅尼經 	ZH0306	1	1	19	19	
LQ1080-1	千眼千臂觀世音菩薩陀羅尼神咒經 	ZH0307	2	2	19	19	
LQ1080-2	千眼千臂觀世音菩薩陀羅尼神咒經(別本) 	ZH0308	2	2	19	19	
LQ1079	千手千眼觀世音菩薩姥陀羅尼身經 	ZH0309	1	1	19	19	
LQ1082-1	千手千眼觀世音菩薩廣大圓滿無礙大悲心陀羅尼經 	ZH0310	1	1	19	19	
LQ1082-2	千手千眼觀世音菩薩廣大圓滿無礙大悲心陀羅尼經(別本) 	ZH0311	1	1	19	19	
LQ1115	觀世音菩薩如意摩尼陀羅尼經 	ZH0312	1	1	19	19	
LQ1114	觀世音秘密藏如意輪陀羅尼神咒經 	ZH0313	1	1	19	19	
LQ0401	拔一切業障根本得生淨土神咒 	ZH0314	1	1	19	19	
LQ1113	佛說觀自在菩薩如意心陀羅尼咒經 	ZH0315	1	1	19	19	
LQ1112	如意輪陀羅尼經 	ZH0316	1	1	19	19	
LQ1220	大方廣菩薩藏經中文殊師利根本一字陀羅尼經 	ZH0317	1	1	19	19	
LQ1007	大金色孔雀王咒經 	ZH0318	1	1	19	19	
LQ1393	佛說十二佛名神咒校量功德除障滅罪經 	ZH0319	1	1	19	19	
LQ1221	曼殊室利菩薩咒藏中一字咒王經 	ZH0320	1	1	19	19	
LQ1394	佛說稱讚如來功德神咒經 	ZH0321	1	1	19	19	
LQ1006	佛說大孔雀咒王經 	ZH0322	3	3	19	19	
LQ1009	孔雀王咒經 	ZH0323	1	1	19	19	
LQ1008	佛說大金色孔雀王咒經 	ZH0324	1	1	19	19	
LQ1005	孔雀王咒經 	ZH0325	2	2	19	19	
LQ0919	佛說陀羅尼集經 	ZH0326	12	12	20	20	
LQ1057	千轉陀羅尼觀世音菩薩咒 	ZH0327	1	1	20	20	
LQ1096	佛說十一面觀世音神咒經 	ZH0328	1	1	20	20	
LQ1297	佛說摩利支天陀羅尼咒經 	ZH0329	1	1	20	20	
LQ1056	呪五首 	ZH0330	1	1	20	20	
LQ1097	十一面神咒心經 	ZH0331	1	1	20	20	
LQ1067-1	佛說六字神咒王經 	ZH0332	1	1	20	20	
LQ1067-2	六字神咒王經(別本) 	ZH0333	1	1	20	20	
LQ1102	佛說七俱胝佛母准提大明陀羅尼經 	ZH0334	1	1	20	20	
LQ1218	六字神呪經 	ZH0335	1	1	20	20	
LQ1104	佛說七俱胝佛母心大准提陀羅尼經 	ZH0336	1	1	20	20	
LQ1136-1	觀自在菩薩隨心咒經 	ZH0337	1	1	20	20	
LQ1136-2	觀自在菩薩隨心咒經(別本) 	ZH0338	1	1	20	20	
LQ1136-3	觀自在菩薩怛嚩多唎隨心陀羅尼經(別本) 	ZH0339	1	1	20	20	
LQ1385	種種雜咒經 	ZH0340	1	1	20	20	
LQ0986	最勝佛頂陀羅尼淨除業障咒經 	ZH0341	1	1	20	20	
LQ0984	佛頂尊勝陀羅尼經 	ZH0342	1	1	20	20	
LQ0987	佛說佛頂尊勝陀羅尼經 	ZH0343	1	1	20	20	
LQ0985-1	佛頂最勝陀羅尼經 	ZH0344	1	1	20	20	
LQ0983	佛頂尊勝陀羅尼經 	ZH0345	1	1	20	20	
LQ1033	佛說出生無量門持經 	ZH0346	1	1	20	20	
LQ1032	佛說無量門微密持經 	ZH0347	1	1	20	20	
LQ1036	無量門破魔陀羅尼經 	ZH0348	1	1	20	20	
LQ1035	阿難陀目佉尼呵離陀經 	ZH0349	1	1	20	20	
LQ1411	妙臂印幢陀羅尼經 	ZH0350	1	1	20	20	
LQ1034	佛說阿難陀目佉尼呵離陀[陳-東+(麟-鹿)]尼經 	ZH0351	1	1	20	20	
LQ1410	勝幢臂印陀羅尼經 	ZH0352	1	1	20	20	
LQ1037	舍利弗陀羅尼經 	ZH0353	1	1	20	20	
LQ1031	佛說一向出生菩薩經 	ZH0354	1	1	20	20	
LQ1038	出生無邊門陀羅尼經 	ZH0355	1	1	20	20	
LQ0985-2	咒三首經 	ZH0356	1	1	20	20	
LQ1389	佛說無崖際總持法門經 	ZH0357	1	1	20	20	
LQ1390	尊勝菩薩所問一切諸法入無量門陀羅尼經 	ZH0358	1	1	20	20	
LQ1392	金剛上味陀羅尼經 	ZH0359	1	1	20	20	
LQ1391	金剛場陀羅尼經 	ZH0360	1	1	20	20	
LQ1183	如來方便善巧咒經 	ZH0361	1	1	20	20	
LQ1404	佛說師子奮迅菩薩所問經 	ZH0362	1	1	20	20	
LQ1399	佛說陀鄰尼鉢經 	ZH0363	1	1	20	20	
LQ1405	佛說花聚陀羅尼咒經 	ZH0364	1	1	20	20	
LQ1066	佛說六字咒王經 	ZH0365	1	1	20	20	
LQ1398	佛說持句神咒經 	ZH0366	1	1	20	20	
LQ1174	佛說善法方便陀羅尼經 	ZH0367	1	1	20	20	
LQ1182	虛空藏菩薩問七佛陀羅尼咒經 	ZH0368	1	1	20	20	
LQ1175-1	金剛秘密善門陀羅尼咒經(別本) 	ZH0370	1	1	20	20	
LQ1403	佛說華積陀羅尼神咒經 	ZH0371	1	1	20	20	
LQ1173	護命法門神咒經 	ZH0372	1	1	20	20	
LQ1397	東方最勝燈王陀羅尼經 	ZH0373	1	1	20	20	
LQ1396	東方最勝燈王如來經 	ZH0374	1	1	20	20	
LQ1045	無垢淨光大陀羅尼經 	ZH0375	1	1	20	20	
LQ1065	請觀世音菩薩消伏毒害陀羅尼咒經 	ZH0376	1	1	20	20	
LQ0606	佛說寶網經 	ZH0377	1	1	20	20	
LQ0830	菩薩行五十緣身經 	ZH0378	1	1	20	20	
LQ0838	佛說演道俗業經 	ZH0379	1	1	20	20	
LQ0824	佛說內藏百寶經 	ZH0380	1	1	20	20	
LQ0697	佛說梵志女首意經 	ZH0381	1	1	20	20	
LQ0812	佛說四不可得經 	ZH0382	1	1	20	20	
LQ0675	私呵昧經(ㄧ名菩薩道樹) 	ZH0383	1	1	20	20	
LQ0676	菩薩生地經 	ZH0384	1	1	20	20	
LQ0362	佛說菩薩修行經 	ZH0385	1	1	20	20	
LQ0760	大方等如來藏經 	ZH0386	1	1	20	20	
LQ0731	佛說成具光明定意經 	ZH0389	1	1	20	20	
LQ0607	佛說百佛名經 	ZH0390	1	1	20	20	
LQ0222	金色王經 	ZH0391	1	1	20	20	
LQ0777	佛說諸德福田經 	ZH0392	1	1	20	20	
LQ0794	佛說溫室洗浴眾僧經 	ZH0393	1	1	20	20	
LQ0849	佛語經 	ZH0394	1	1	20	20	
LQ1127	不空[羅-維+絹]索咒心經 	ZH0395	1	1	20	20	
LQ0595	佛說稱揚諸佛功德經 	ZH0396	3	3	20	20	
LQ0713	佛說須真天子經 	ZH0397	4	4	20	20	
LQ0418	摩訶摩耶經 	ZH0398	2	2	20	20	
LQ0805	佛說除恐災患經 	ZH0399	1	1	20	20	
LQ0823	佛說孛經抄 	ZH0400	1	1	20	20	
LQ0404	觀世音菩薩授記經 	ZH0401	1	1	20	20	
LQ0718	佛說海龍王經 	ZH0402	4	4	20	20	
LQ0742	佛說首楞嚴三昧經 	ZH0403	2	2	20	20	
LQ1199	佛說觀藥王藥上二菩薩經 	ZH0404	1	1	20	20	
LQ0308	佛說觀普賢菩薩行法經 	ZH0405	1	1	20	20	
LQ0654	不思議光菩薩所說經 	ZH0406	1	1	20	20	
LQ0341	最勝問菩薩十住除垢斷結經 	ZH0407	10	10	20	20	
LQ0806	佛說未曾有因緣經 	ZH0408	2	2	21	21	
LQ0827	諸佛要集經 	ZH0409	2	2	21	21	
LQ0755	菩薩瓔珞經 	ZH0410	14	14	21	21	
LQ0738	佛說超日明三昧經 	ZH0411	2	2	21	21	
LQ0594	賢劫經 	ZH0412	8	8	21	21	
LQ1387	大法炬陀羅尼經 	ZH0413	20	20	21	21	
LQ1388	大威德陀羅尼經 	ZH0414	20	20	21	21	
LQ0610	佛說佛名經 	ZH0415	12	12	21	21	
LQ0614	過去莊嚴劫千佛名經	ZH0416	1	1	22	22	
LQ0614	過去莊嚴劫千佛名經	ZH0416	1	1	22	22	
LQ0613	五千五百佛名神咒除障滅罪經	ZH0422	8	8	22	22	
LQ0608	佛說不思議功德諸佛所護念經	ZH0423	2	2	22	22	
LQ0756	佛說華手經	ZH0424	10	10	22	22	
LQ1386	大方等陀羅尼經	ZH0425	4	4	22	22	
LQ0465	僧伽吒經	ZH0426	4	4	22	22	
LQ0747	力莊嚴三昧經	ZH0427	3	3	22	22	
LQ0857	大方廣圓覺修多羅了義經	ZH0428	1	1	22	22	
LQ0743	佛說觀佛三昧海經	ZH0429	10	10	22	22	
LQ0216	大方便佛報恩經	ZH0430	7	7	22	22	
LQ0215	佛說菩薩本行經	ZH0431	3	3	22	22	
